"","number","Category","trans_answer","number_to_category"
"155",19,"81%-90%","81%-90%",10
"156",19,"91%-100%","91%-100%",11
"157",19,"No seguro","Not Sure",12
"158",20,"0%","0%",1
"159",20,"1%-10%","1%-10%",2
"160",20,"11%-20%","11%-20%",3
"161",20,"21%-30%","21%-30%",4
"162",20,"31%-40%","31%-40%",5
"163",20,"41%-50%","41%-50%",6
"164",20,"51%-60%","51%-60%",7
"165",20,"61%-70%","61%-70%",8
"166",20,"71%-80%","71%-80%",9
"167",20,"81%-90%","81%-90%",10
"168",20,"91%-100%","91%-100%",11
"169",20,"No seguro","Not Sure",12
"170",21,"Diario","Daily",1
"171",21,"Semanal","Weekly",2
"172",21,"Quincenal","Biweekly",3
"173",21,"Mensual","Monthly",4
"174",21,"Bimestral","Bimonthly",5
"175",21,"Trimestral","Quarterly",6
"176",21,"Semestral","Semiannually",7
"177",21,"Anual","Annually",8
"178",21,"Según sea necesario","As Needed",9
"179",21,"No supervisado","Unsupervised",10
"180",21,"No estoy seguro","Not Sure",11
"181",22,"No eficaz","Not Effective",1
"182",22,"Poco eficaz","Slightly Effective",2
"183",22,"Moderadamente eficaz","Moderately Effective",3
"184",22,"Muy eficaz","Very Effective",4
"185",22,"Extremadamente eficaz","Extremely Effective",5
"186",22,"Inseguro","Unsure",6
"187",23,"No eficaz","Not Effective",1
"188",23,"Poco eficaz","Slightly Effective",2
"189",23,"Moderadamente eficaz","Moderately Effective",3
"190",23,"Muy eficaz","Very Effective",4
"191",23,"Extremadamente eficaz","Extremely Effective",5
"192",23,"Inseguro","Unsure",6
"193",24,"No eficaz","Not Effective",1
"194",24,"Poco eficaz","Slightly Effective",2
"195",24,"Moderadamente eficaz","Moderately Effective",3
"196",24,"Muy eficaz","Very Effective",4
"197",24,"Extremadamente eficaz","Extremely Effective",5
"198",24,"Inseguro","Unsure",6
"199",25,"No eficaz","Not Effective",1
"200",25,"Poco eficaz","Slightly Effective",2
"201",25,"Moderadamente eficaz","Moderately Effective",3
"202",25,"Muy eficaz","Very Effective",4
"203",25,"Extremadamente eficaz","Extremely Effective",5
"204",25,"Inseguro","Unsure",6
"205",26,"No eficaz","Not Effective",1
"206",26,"Poco eficaz","Slightly Effective",2
"207",26,"Moderadamente eficaz","Moderately Effective",3
"208",26,"Muy eficaz","Very Effective",4
"209",26,"Extremadamente eficaz","Extremely Effective",5
"210",26,"Inseguro","Unsure",6
"211",27,"Recursos Financieros","Financial Resources",1
"212",27,"Conocimiento Técnico","Technical Knowledge",2
"213",27,"Acceso a Material de Siembra de Calidad","Access to Quality Planting Material",3
"214",27,"Disponibilidad de Mano de Obra","Availability of Labor",4
"215",27,"Políticas y Regulaciones Gubernamentales","Government Policies and Regulations",5
"216",27,"Aceptación Social/Apoyo Comunitario","Social Acceptance/Community Support",6
"217",27,"Acceso al Mercado","Market Access",7
"218",27,"Condiciones Ambientales","Environmental Conditions",8
"219",27,"Impactos del Cambio Climático","Impacts of Climate Change",9
"220",27,"Presión de Plagas y Enfermedades","Pest and Disease Pressure",10
"221",27,"Acceso a Servicios de Capacitación y Extensión","Access to Training and Extension Services",11
"222",27,"Disponibilidad de Infraestructura y Equipo","Availability of Infrastructure and Equipment",12
"223",27,"Inseguro","Unsure",13
"224",28,"No significativo","Not Significant",1
"225",28,"Algo significativo ","Somewhat Significant",2
"226",28,"Muy significativo","Very Significant",3
"227",28,"No estoy seguro","Not Sure",4
"228",29,"Ninguna medida","No Measures",1
"229",29,"Algunas medidas","Some Measures",2
"230",29,"Medidas significativas","Significant Measures",3
"231",29,"No estoy seguro","Not Sure",4
"232",30,"Sin limitación","No Limitation",1
"233",30,"Poca limitación","Little Limitation",2
"234",30,"Limitación moderada","Moderate Limitation",3
"235",30,"Limitación extrema","Extreme Limitation",4
"236",30,"Inseguro","Unsure",5
"237",31,"Sin limitación","No Limitation",1
"238",31,"Poca limitación","Little Limitation",2
"239",31,"Limitación moderada","Moderate Limitation",3
"240",31,"Limitación extrema","Extreme Limitation",4
"241",31,"Inseguro","Unsure",5
"242",32,"Aspersor","Sprinkler",1
"243",32,"Goteo","Drip",2
"244",32,"Cuenca","Basin",3
"245",32,"Surco/zanja","Furrow/Trench",4
"246",32,"Otro","Other",5
"247",32,"Ninguno","None",6
"248",32,"Inseguro","Unsure",7
"249",33,"Aguas superficiales","Surface Water",1
"250",33,"Aguas subterráneas","Groundwater",2
"251",33,"Aguas residuales tratadas","Treated Wastewater",3
"252",33,"Presas","Dams",4
"253",33,"Distritos de riego comunales","Community Irrigation Districts",5
"254",33,"Lluvias","Rainwater",6
"255",33,"Otros ","Others",7
"256",33,"Inseguro","Unsure",8
"257",33,"Ninguno","None",9
"258",35,"Filtración","Filtration",1
"259",35,"Tratamiento químico","Chemical Treatment",2
"260",35,"Tratamiento físico","Physical Treatment",3
"261",35,"Sin tratamiento","No Treatment",4
"262",35,"Inseguro","Unsure",5
"263",36,"0%","0%",1
"264",36,"1%-10%","1%-10%",2
"265",36,"11%-20%","11%-20%",3
"266",36,"21%-30%","21%-30%",4
"267",36,"31%-40%","31%-40%",5
"268",36,"41%-50%","41%-50%",6
"269",36,"51%-60%","51%-60%",7
"270",36,"61%-70%","61%-70%",8
"271",36,"71%-80%","71%-80%",9
"272",36,"81%-90%","81%-90%",10
"273",36,"91%-100%","91%-100%",11
"274",36,"No seguro","Not Sure",12
"275",37,"Extremadamente improbable","Extremely Unlikely",1
"276",37,"Muy improbable","Very Unlikely",2
"277",37,"Poco probable","Unlikely",3
"278",37,"Algo improbable","Somewhat Unlikely",4
"279",37,"Neutral","Neutral",5
"280",37,"Algo probable","Somewhat Likely",6
"281",37,"Probable","Likely",7
"282",37,"Muy probable","Very Likely",8
"283",37,"Extremadamente probable","Extremely Likely",9
"284",37,"Inseguro","Unsure",10
"285",39,"Riesgo insignificante","Insignificant Risk",1
"286",39,"Riesgo muy bajo","Very Low Risk",2
"287",39,"Riesgo bajo","Low Risk",3
"288",39,"Riesgo moderado","Moderate Risk",4
"289",39,"Riesgo alto","High Risk",5
"290",39,"No estoy seguro","Not Sure",6
"291",40,"No Factible","Not Feasible",1
"292",40,"Poco Factible","Slightly Feasible",2
"293",40,"Moderadamente Factible","Moderately Feasible",3
"294",40,"Muy Factible","Very Feasible",4
"295",40,"Extremadamente Factible","Extremely Feasible",5
"296",41,"Comercio de material vegetal infectado","Trade of Infected Plant Material",1
"297",41,"Medidas de bioseguridad inadecuadas","Inadequate Biosecurity Measures",2
"298",41,"Falta de aplicación de la cuarentena","Lack of Quarantine Enforcement",3
"299",41,"Vigilancia limitada de enfermedades","Limited Disease Surveillance",4
"300",41,"Conciencia comunitaria","Community Awareness",5
"301",41,"Marco regulatorio débil","Weak Regulatory Framework",6
"302",41,"Efectos del cambio climático","Effects of Climate Change",7
"303",41,"Especies invasoras","Invasive Species",8
"304",41,"Factores políticos","Political Factors",9
"305",41,"Demanda del mercado","Market Demand",10
"306",41,"Migración","Migration",11
"307",41,"Inestabilidad social","Social Instability",12
"308",41,"No estoy seguro","Not Sure",13
